DR,A%,DF%,1stIn,1st%,2nd%
0.56,0.0%,0.0%,66.7%,40.9%,40.9%
1.28,0.0%,2.7%,78.1%,64.9%,62.5%
1.00,0.0%,0.0%,74.8%,55.8%,57.7%
1.28,0.0%,4.7%,67.2%,65.1%,61.9%
1.60,1.9%,1.9%,71.7%,71.1%,60.0%
0.95,4.9%,3.7%,61.7%,60.0%,51.6%
1.01,4.3%,4.3%,72.0%,55.2%,46.2%
0.82,3.5%,1.2%,71.8%,57.4%,54.2%
1.10,4.1%,2.1%,68.0%,75.8%,32.3%
1.12,5.9%,1.0%,74.5%,69.7%,53.8%
2.55,12.5%,0.0%,90.0%,80.6%,75.0%
1.26,6.1%,1.2%,63.4%,71.2%,56.7%
0.74,10.0%,0.8%,63.1%,67.1%,58.3%
1.39,9.3%,1.3%,74.7%,76.8%,52.6%
1.08,2.8%,2.8%,67.9%,66.7%,61.8%
1.58,4.2%,2.1%,70.8%,67.6%,64.3%
0.98,2.2%,3.3%,65.9%,66.7%,58.1%
1.16,3.8%,5.1%,54.4%,69.8%,50.0%
1.37,0.0%,0.0%,60.7%,75.7%,45.8%
1.40,3.3%,1.7%,65.0%,69.2%,61.9%
0.65,3.7%,1.9%,72.2%,61.5%,26.7%
0.63,1.0%,2.0%,66.3%,61.2%,52.9%
0.49,0.0%,1.8%,75.0%,59.5%,35.7%
1.06,9.3%,3.1%,74.2%,70.8%,52.0%
1.11,5.4%,1.4%,83.8%,64.5%,58.3%
0.76,1.2%,3.5%,69.4%,59.3%,23.1%
0.88,1.0%,0.0%,75.0%,57.3%,60.0%
0.93,3.1%,2.1%,67.0%,66.2%,43.8%
1.01,1.9%,3.8%,72.4%,63.2%,51.7%
0.67,7.1%,0.9%,68.8%,72.7%,40.0%
0.89,1.5%,4.5%,67.2%,66.7%,36.4%
1.00,1.3%,1.3%,75.0%,66.7%,63.2%
0.84,3.1%,3.1%,69.0%,60.7%,47.5%
1.34,9.6%,3.6%,63.9%,88.7%,53.3%
1.09,2.6%,5.1%,70.5%,69.1%,47.8%
0.80,0.0%,3.1%,63.1%,41.5%,41.7%
0.76,1.3%,2.6%,62.8%,51.0%,34.5%
1.28,5.3%,0.0%,77.3%,77.6%,52.9%
1.54,1.8%,3.5%,84.2%,70.8%,55.6%
0.98,2.7%,8.0%,61.3%,73.9%,44.8%
0.57,0.0%,4.6%,73.8%,45.8%,47.1%
0.48,8.9%,6.7%,57.8%,65.4%,31.6%
1.04,3.4%,0.8%,60.2%,60.6%,46.8%
0.86,0.0%,5.0%,65.0%,71.8%,38.1%
0.27,2.7%,0.0%,62.7%,70.2%,39.3%
0.89,2.2%,1.1%,70.7%,64.6%,63.0%
0.89,0.0%,11.5%,49.2%,60.0%,35.5%
1.45,3.4%,3.4%,62.7%,73.0%,63.6%
1.30,6.7%,3.3%,66.7%,80.0%,45.0%
0.93,1.0%,2.9%,62.5%,60.0%,46.2%
1.17,4.4%,8.9%,60.0%,59.3%,22.2%
1.01,2.8%,2.8%,64.8%,71.7%,60.0%
1.50,3.9%,3.9%,60.8%,74.2%,55.0%
1.06,4.1%,6.8%,59.5%,70.5%,43.3%
0.72,5.6%,5.6%,61.1%,57.6%,42.9%
0.58,2.6%,2.6%,64.1%,36.0%,42.9%
1.15,7.9%,1.0%,76.2%,64.9%,54.2%
0.89,1.2%,1.2%,73.3%,65.1%,43.5%
1.09,4.3%,0.9%,70.4%,66.7%,52.9%
1.22,5.1%,1.3%,72.2%,68.4%,63.6%
0.78,3.1%,3.1%,57.8%,62.2%,44.4%
1.16,2.2%,2.2%,64.1%,66.1%,51.5%
0.79,0.0%,4.5%,59.1%,59.0%,44.4%
2.46,13.0%,2.2%,63.0%,79.3%,82.4%
0.54,0.0%,0.0%,60.9%,60.7%,44.4%
1.12,5.4%,4.3%,59.8%,67.3%,48.6%
3.55,5.7%,2.9%,54.3%,84.2%,75.0%
0.56,10.5%,0.0%,64.9%,78.4%,50.0%
0.97,2.8%,0.9%,63.0%,63.2%,52.5%
1.05,3.4%,2.2%,61.8%,65.5%,58.8%
1.10,6.7%,0.0%,60.6%,66.7%,39.0%
0.91,0.0%,2.9%,64.3%,62.2%,48.0%
1.29,2.9%,4.3%,60.0%,73.8%,57.1%
0.76,3.8%,0.0%,61.5%,68.8%,40.0%
1.17,4.0%,1.0%,66.0%,62.1%,61.8%
0.63,0.0%,9.1%,41.8%,47.8%,28.1%
0.80,1.8%,0.0%,58.9%,57.6%,39.1%
1.25,0.0%,1.7%,55.2%,65.6%,57.7%
1.43,6.9%,5.2%,69.0%,82.5%,55.6%
1.08,5.3%,3.2%,70.5%,70.1%,50.0%
1.72,4.1%,0.0%,61.2%,83.3%,52.6%
1.15,2.7%,1.4%,66.2%,71.4%,52.0%
1.98,0.0%,2.5%,65.0%,76.9%,64.3%
1.07,3.4%,3.4%,60.3%,71.4%,60.9%
2.31,4.7%,0.0%,69.8%,76.7%,69.2%
1.02,8.0%,2.3%,67.8%,61.0%,46.4%
0.56,3.5%,3.5%,66.7%,52.6%,47.4%
1.02,7.1%,0.0%,67.1%,66.0%,52.2%
1.33,7.0%,1.8%,57.9%,75.8%,54.2%
1.32,5.6%,0.0%,68.5%,70.3%,58.8%
0.81,0.0%,0.0%,63.8%,56.8%,42.9%
1.02,3.7%,1.2%,70.4%,75.4%,45.8%
1.15,2.6%,6.6%,63.2%,75.0%,46.4%
1.16,2.4%,3.6%,72.3%,70.0%,47.8%
0.63,5.1%,3.4%,66.1%,56.4%,40.0%
1.02,5.7%,0.0%,64.8%,64.9%,29.0%
0.41,0.0%,6.0%,62.0%,58.1%,31.6%
0.93,0.0%,2.9%,73.3%,58.4%,46.4%
1.38,5.3%,1.8%,61.4%,71.4%,59.1%
1.24,2.0%,2.0%,65.3%,68.8%,52.9%
0.99,1.2%,1.2%,63.9%,56.6%,56.7%
0.56,0.0%,0.0%,54.2%,59.4%,59.3%
0.80,1.5%,0.0%,66.2%,51.1%,43.5%
0.89,0.0%,2.7%,56.4%,64.5%,60.4%
0.65,0.0%,2.2%,67.4%,45.2%,46.7%
0.82,2.7%,6.8%,68.9%,64.7%,30.4%
