Plyaer1,Player2,Decision Tree,Mean,Mode,KDE,Average ,DecisionTree,MC_Mean,MC_Mode,MC_KDE,Average
Jannik Sinner,Tommy Paul,,,,,,22.6,23.4,18,18.4,20.6
Carlos Alcaraz,Lorenzo Musetti,,,,,,23.3,23.2,18,18.1,20.6
Jannik Sinner,Casper Ruud,,,,,,23.7,24.0,19,18.6,21.3
Tommy Paul,Hubert Hurkacz,,,,,,22.9,24.1,19,18.7,21.2
Jack Draper,Carlos Alcaraz,,,,,,23.5,22.7,18,18.0,20.6
Lorenzo Musetti,Alexander Zverev,,,,,,23.0,24.1,18,18.3,20.8
Jannik Sinner,Francisco Cerundolo,,,,,,22.9,23.4,18,18.1,20.6
Jaume Munar,Casper Ruud,,,,,,22.9,23.2,18,18.1,20.5
Hubert Hurkacz,Jakub Mensik,,,,,,24.0,24.0,18,18.6,21.1
Tommy Paul,Alex de Minaur,,,,,,24.2,24.1,19,18.7,21.5
Jack Draper,Corentin Moutet,,,,,,23.2,24.1,18,18.7,21.0
Carlos Alcaraz,Karen Khachanov,,,,,,22.9,22.3,17,17.6,20.0
Lorenzo Musetti,Daniil Medvedev,,,,,,23.6,24.0,19,18.9,21.4
Arthur Fils,Alexander Zverev,,,,,,23.3,23.6,18,18.3,20.8
Jannik Sinner,Mariano Navone,,,,,,22.1,22.1,17,17.6,19.7
Jesper de Jong,Alejandro Davidovich Fokina,,,,,,23.6,24.2,18,18.5,21.1
Nicolas Jarry,Francisco Cerundolo,,,,,,23.1,23.8,19,18.7,21.2
Frances Tiafoe,Sebastian Ofner,,,,,,23.2,23.4,19,18.6,21.0
Ben Shelton,Jaume Munar,,,,,,24.1,24.2,19,18.8,21.5
Matteo Berrettini,Jacob Fearnley,,,,,,23.7,23.9,18,18.4,21.0
Alexander Bublik,Casper Ruud,,,,,,23.4,21.6,17,17.2,19.8
Taylor Fritz,Marcos Giron,,,,,,22.1,22.8,18,18.1,20.2
Pedro Martinez,Hubert Hurkacz,,,,,,22.4,23.6,18,18.4,20.6
Jakub Mensik,Matteo Gigante,,,,,,22.3,23.5,18,18.2,20.5
Fabian Marozsan,Andrey Rublev,,,,,,23.5,23.4,19,18.3,21.1
Tommy Paul,Roberto Bautista Agut,,,,,,24.2,24.1,18,18.6,21.2
Learner Tien,Tomas Machac,,,,,,22.3,22.2,17,17.4,19.7
Hugo Dellien,Thiago Seyboth Wild,,,,,,23.4,23.9,20,19.0,21.6
Luca Nardi,Alex de Minaur,,,,,,23.0,22.8,18,17.8,20.4
